=== Transcript Fetcher ===
Channels: 1298
Mode: LIVE
Workers: 3
Pattern: ROUND-ROBIN

Starting round-robin download across all channels...

Total pending videos: 52301

progress: done=1/52301, ok=1, fail=0, pending=52300
progress: done=2/52301, ok=2, fail=0, pending=52299
progress: done=3/52301, ok=3, fail=0, pending=52298
progress: done=4/52301, ok=4, fail=0, pending=52297
progress: done=5/52301, ok=5, fail=0, pending=52296
progress: done=6/52301, ok=6, fail=0, pending=52295
progress: done=7/52301, ok=7, fail=0, pending=52294
progress: done=8/52301, ok=8, fail=0, pending=52293
[FAIL] gIS_V46lUJU: direct_api unavailable: video unavailable
progress: done=9/52301, ok=8, fail=1, pending=52292
progress: done=10/52301, ok=9, fail=1, pending=52291
[FAIL] p_OLfJN_Fzg: direct_api unavailable: video unavailable
progress: done=11/52301, ok=9, fail=2, pending=52290
progress: done=12/52301, ok=10, fail=2, pending=52289
progress: done=13/52301, ok=11, fail=2, pending=52288
progress: done=14/52301, ok=12, fail=2, pending=52287
progress: done=15/52301, ok=13, fail=2, pending=52286
progress: done=16/52301, ok=14, fail=2, pending=52285
progress: done=17/52301, ok=15, fail=2, pending=52284
progress: done=18/52301, ok=16, fail=2, pending=52283
progress: done=19/52301, ok=17, fail=2, pending=52282
progress: done=20/52301, ok=18, fail=2, pending=52281
progress: done=21/52301, ok=19, fail=2, pending=52280
progress: done=22/52301, ok=20, fail=2, pending=52279
progress: done=23/52301, ok=21, fail=2, pending=52278
progress: done=24/52301, ok=22, fail=2, pending=52277
progress: done=25/52301, ok=23, fail=2, pending=52276
progress: done=26/52301, ok=24, fail=2, pending=52275
progress: done=27/52301, ok=25, fail=2, pending=52274
progress: done=28/52301, ok=26, fail=2, pending=52273
progress: done=29/52301, ok=27, fail=2, pending=52272
progress: done=30/52301, ok=28, fail=2, pending=52271
progress: done=31/52301, ok=29, fail=2, pending=52270
progress: done=32/52301, ok=30, fail=2, pending=52269
progress: done=33/52301, ok=31, fail=2, pending=52268
progress: done=34/52301, ok=32, fail=2, pending=52267
progress: done=35/52301, ok=33, fail=2, pending=52266
progress: done=36/52301, ok=34, fail=2, pending=52265
progress: done=37/52301, ok=35, fail=2, pending=52264
progress: done=38/52301, ok=36, fail=2, pending=52263
progress: done=39/52301, ok=37, fail=2, pending=52262
progress: done=40/52301, ok=38, fail=2, pending=52261
progress: done=41/52301, ok=39, fail=2, pending=52260
progress: done=42/52301, ok=40, fail=2, pending=52259
progress: done=43/52301, ok=41, fail=2, pending=52258
progress: done=44/52301, ok=42, fail=2, pending=52257
progress: done=45/52301, ok=43, fail=2, pending=52256
progress: done=46/52301, ok=44, fail=2, pending=52255
progress: done=47/52301, ok=45, fail=2, pending=52254
progress: done=48/52301, ok=46, fail=2, pending=52253
progress: done=49/52301, ok=47, fail=2, pending=52252
progress: done=50/52301, ok=48, fail=2, pending=52251
progress: done=51/52301, ok=49, fail=2, pending=52250
progress: done=52/52301, ok=50, fail=2, pending=52249
